Segmentation Squad 1:

ubuntu   pts/0        128.223.223.30   Mon Jul 31 01:37   still logged in
jdolan   pts/0        75.170.12.185    Mon Jul 31 01:32 - 01:32  (00:00)
jemin    pts/0        73.240.46.105    Sun Jul 30 23:46 - 23:47  (00:00)
nsato    pts/0        73.240.200.192   Sun Jul 30 23:06 - 23:06  (00:00)
davish   pts/0        75.170.49.50     Sun Jul 30 23:05 - 23:05  (00:00)
cnf      pts/0        71.59.222.161    Sun Jul 30 22:19 - 22:20  (00:00)
slynch   pts/0        73.96.196.228    Sun Jul 30 21:54 - 21:54  (00:00)




Segmentation Squad 2:

jdolan   pts/0        75.170.12.185    Mon Jul 31 01:02 - 01:26  (00:23)
cplachno pts/1        76.115.176.128   Mon Jul 31 00:03 - 00:04  (00:00)
cplachno pts/1        76.115.176.128   Mon Jul 31 00:02 - 00:02  (00:00)
jemin    pts/1        73.240.46.105    Sun Jul 30 23:45 - 23:46  (00:00)
stevep20 pts/1        73.11.34.126     Sun Jul 30 23:16 - 23:16  (00:00)
aalheid4 pts/1        73.190.85.145    Sun Jul 30 23:14 - 23:14  (00:00)
aalheid4 pts/1        73.190.85.145    Sun Jul 30 23:13 - 23:13  (00:00)
nsato    pts/1        73.240.200.192   Sun Jul 30 23:05 - 23:05  (00:00)
davish   pts/1        75.170.49.50     Sun Jul 30 23:04 - 23:04  (00:00)
jsheabia pts/1        24.20.175.13     Sun Jul 30 22:37 - 22:37  (00:00)
cnf      pts/1        71.59.222.161    Sun Jul 30 22:20 - 22:20  (00:00)



